word,sent
estar por um fio,-1.0
estar sempre a bater na mesma tecla,-1.0
estar-se nas tintas,-1.0
esticar o pernil,-1.0
esvair-se em sangue,-1.0
experimentar dificuldades,-1.0
falar com convicção,1.0
falar de barriga cheia,-1.0
falar demais,-1.0
falar para as paredes,-1.0
falar para o boneco,-1.0
falar sem convicção,-1.0
falar verdade,1.0
faltar à palavra,-1.0
faltar ao compromisso,-1.0
faltar ao respeito,-1.0
fazer à custa de,-1.0
fazer a folha a,-1.0
fazer asneira,-1.0
fazer beicinho,-1.0
fazer biquinho,-1.0
fazer boa figura,1.0
fazer caretas,-1.0
fazer com os olhos fechados,1.0
fazer com uma perna às costas,1.0
fazer das tripas coração,1.0
fazer faísca,-1.0
fazer figura de urso,-1.0
fazer figura triste,-1.0
fazer filmes,-1.0
fazer gato e sapato de,-1.0
fazer horas,-1.0
fazer má figura,-1.0
fazer orelhas moucas,-1.0
fazer ouvidos de mercador,-1.0
fazer pouco de,0.0
fazer sombra a,1.0
fazer um grande feito,1.0
fazer um negócio da China,1.0
fazer uma boa jogada,1.0
fazer uma figura decente,1.0
fazer uma jogada de mestre,1.0
fazer uma rica parelha,-1.0
fazer uma tempestade num copo de água,-1.0
fazer vista grossa,-1.0
fazer xeque-mate,1.0
fazer-se de vítima,-1.0
fechar os olhos,-1.0
fechar-se em copas,-1.0
ferver em pouca água,-1.0
ficar a apanhar bonés,-1.0
ficar a chupar no dedo,-1.0
ficar à deriva,-1.0
ficar a dormir à sombra da bananeira,-1.0
ficar a falar para as paredes,-1.0
ficar a falar sozinho,-1.0
ficar a jeito,-1.0
ficar à nora,-1.0
ficar a pensar na morte da bezerra,-1.0
ficar a secar,-1.0
ficar à sombra da bananeira,-1.0
ficar à sombra de,-1.0
ficar a ver navios,-1.0
ficar ao deus dará,-1.0
ficar aos caídos,-1.0
ficar às aranhas,-1.0
ficar às cegas,-1.0
ficar com a cabeça em água,-1.0
ficar com a cabeça na lua,-1.0
ficar com as calças na mão,-1.0
ficar com cara de caso,-1.0
ficar com dor de corno,-1.0
ficar com dor de cotovelo,-1.0
ficar com macacos na cabeça,-1.0
ficar com macacos no sótão,-1.0
ficar com macaquinhos na cabeça,-1.0
ficar com macaquinhos no sótão,-1.0
ficar com o coração nas mãos,-1.0
ficar com os louros,-1.0
ficar de mãos a abanar,-1.0
ficar de mãos atadas,-1.0
ficar de mãos e pés atados,-1.0
ficar de molho,-1.0
ficar de pés atados,-1.0
ficar de tanga,-1.0
ficar de trombas,-1.0
ficar em pedaços,-1.0
ficar em primeiro,1.0
ficar em último,-1.0
ficar enterrado até às orelhas,-1.0
ficar feito barata tonta,-1.0
ficar fora de si,-1.0
ficar mal visto,-1.0
ficar na lua,-1.0
ficar nas mãos de,-1.0
ficar num beco sem saída,-1.0
ficar para tio,-1.0
ficar pelos cabelos,-1.0
ficar reduzido a nada,-1.0
ficar reduzido a zero,-1.0
ficar sem argumentos,-1.0
filho da puta,-1.0
fugir à questão,-1.0
fugir à responsabilidade,-1.0
fugir a sete pés,-1.0
fugir ao fisco,-1.0
fugir às perguntas,-1.0
fugir às responsabilidades,-1.0
fugir com o rabo à seringa,-1.0
gastar mundos e fundos,-1.0
honrar a sua palavra,1.0
honrar os seus compromissos,1.0
impávido e sereno,0.0
induzir em erro,-1.0
infernizar a vida a,0.0
inspirar,1.0
inspirar confiança,1.0
intrépido e sereno,8.0
invadir a privacidade de,-1.0
ir à luta,1.0
ir ao chão,-1.0
ir ao tapete,-1.0
ir aos arames,-1.0
ir às nuvens,1.0
ir às paredes,-1.0
ir dentro,-1.0
ir desta para melhor,-1.0
ir para o outro mundo,-1.0
ir pelo caminho errado,-1.0
ir pelos ares,-1.0
ir-se abaixo,-1.0
ir-se ao ar,-1.0
ir-se aos ares,-1.0
jogar ao faz de conta,-1.0
juntar o útil ao agradável,1.0
lamber as botas a,-1.0
laurear a pevide,-1.0
lavar roupa suja,-1.0
levado da breca,-1.0
levado das maleitas,-1.0
levado do diabo,-1.0
levantar a cabeça,1.0
levar a melhor,1.0
levar a sua avante,1.0
levar com a porta na cara,-1.0
levar com um balde de água fria,-1.0
levar na corneta,-1.0
levar nas orelhas de,-1.0
levar nas orelhas,-1.0
levar porrada,-1.0
levar um baile de,-1.0
levar um baile,-1.0
levar um banho de água fria,-1.0
levar um pontapé no cu,-1.0
levar um tiro,-1.0
levar uma abada,-1.0
levar uma cabazada,-1.0
levar uma coça,-1.0
levar uma malha,-1.0
levar uma surra,-1.0
levar uma tareia,-1.0
ligar a cassete,-1.0
limpar o bom nome,1.0
limpar o cebo a,0.0
limpar o pó a,0.0
limpar o sarampo a,-1.0
limpar o sebo a,-1.0
má apresentação,-1.0
má cara,-1.0
má disposição,-1.0
má educação,-1.0
má fama,-1.0
má formação,-1.0
má fortuna,-1.0
maior e vacinado,0.0
mamar nas tetas de,-1.0
manchar a imagem de,-1.0
mandar bocas a,0.0
mandar bocas,-1.0
mandar calar,-1.0
marcar pontos,1.0
más intenções,-1.0
matar dois coelhos com uma cajadada,1.0
matar o vício,-1.0
mau agouro,-1.0
mau agrado,-1.0
mau aluno,-1.0
mau cheiro,-1.0
mau comportamento,-1.0
mau desempenho,-1.0
mau exemplo,-1.0
mau feitio,-1.0
mau génio,-1.0
mau humor,-1.0
mau pagador,-1.0
maus hábitos,-1.0
mentiroso compulsivo,-1.0
mentiroso inveterado,-1.0
merecer o que tem,-1.0
meter a carroça à frente dos bois,-1.0
meter a foice em seara alheia,-1.0
meter a pata na poça,-1.0
meter a viola no saco,-1.0
meter água,-1.0
meter dentro de um púcaro,1.0
meter mãos à obra,1.0
meter medo,-1.0
meter num bolso,1.0
meter num chinelo,1.0
meter o carro à frente dos bois,-1.0
meter o nariz onde não é chamado,-1.0
meter o pé na argola,-1.0
meter o pé na poça,-1.0
meter o rabinho entre as pernas,-1.0
meter o rabo entre as pernas,-1.0
meter os cornos a,-1.0
meter os dedos pelos olhos de,-1.0
meter os dedos pelos olhos dentro,-1.0
meter os patins a,-1.0
meter os pés pelas mãos,-1.0
meter uma cunha,-1.0
meter-se às cavalitas de,-1.0
meter-se na alheta,-1.0
meter-se na boca do lobo,-1.0
meter-se numa embrulhada,-1.0
meter-se onde não é chamado,-1.0
misturar alhos com bugalhos,-1.0
morder a língua,-1.0
morder o isco,-1.0
morrer de pé,-1.0
morrer na praia,-1.0
mostrar a verdadeira face,-1.0
mostrar atitude,1.0
mostrar dificuldades,-1.0
mudar as regras a meio do jogo,-1.0
mudar de ideias como quem muda de camisa,-1.0
não acertar uma,-1.0
não chegar aos calcanhares de,-1.0
não chegar aos pés de,-1.0
não chegar às solas dos sapatos de,-1.0
não dar uma para a caixa,-1.0
não dizer ai nem ui,-1.0
não dizer coisa com coisa,-1.0
não dizer nada de jeito,-1.0
não estar à altura de,-1.0
não estar em si,-1.0
não fazer a ponta de um corno,-1.0
não gostar de ouvir as verdades,-1.0
não interessar a ninguém,-1.0
não mexer uma palha,-1.0
não morrer de amores por,0.0
não olhar a meios para atingir os fins,-1.0
não olhar a meios,-1.0
não perceber patavina,-1.0
não saber o que dizer,-1.0
não saber o que quer,-1.0
