word,sent
alvejado,0.0
alvissareiro,0.0
alvoraçado,-1.0
amabilidade,1.0
amachucado,-1.0
amachucar,1.0
amado,1.0
amador,0.0
amadorismo,-1.0
amadurecer,1.0
amadurecido,1.0
amaldiçoado,-1.0
amalucado,-1.0
amamentado,0.0
amaneirado,-1.0
amar,0.0
amarelado,-1.0
amarelo,-1.0
amargado,-1.0
amargo,-1.0
amargura,-1.0
amargurado,-1.0
amaricado,-1.0
amarrado,-1.0
amassado,-1.0
amável,1.0
ambicioso,0.0
ambidestro,0.0
ambidextro,0.0
ambiguidade,-1.0
ambíguo,-1.0
ambiopia,-1.0
ambliopia,-1.0
ambrosiano,0.0
ameaça,-1.0
ameaçador,-1.0
ameaçante,-1.0
amedrontado,-1.0
amedrontador,-1.0
amedrontar,1.0
ameno,1.0
americanista,0.0
americanófilo,0.0
americanófobo,-1.0
amestrado,1.0
amigalhaço,1.0
amigalhão,1.0
amigável,1.0
amigo,1.0
amistoso,1.0
amnésia,-1.0
amnésico,-1.0
amolecer,-1.0
amoral,-1.0
amoralidade,-1.0
amoralista,-1.0
amorável,1.0
amorfia,-1.0
amorfo,-1.0
amorosidade,1.0
amoroso,1.0
amortecido,-1.0
amotinado,-1.0
amputado,-1.0
amuado,-1.0
amuamento,-1.0
amuar,-1.0
amuo,-1.0
anacrónico,-1.0
anacrônico,-1.0
anafado,-1.0
analfabeto,-1.0
analisador,0.0
analista,0.0
anão,-1.0
anárquico,-1.0
anarquista,-1.0
ancião,0.0
andante,-1.0
andarilho,0.0
andrajoso,-1.0
anedótico,-1.0
anémico,-1.0
anêmico,-1.0
anestesiado,-1.0
anestesiar,1.0
anexado,0.0
anexionista,0.0
angelical,1.0
angélico,1.0
angelita,0.0
anglicano,0.0
anglófilo,0.0
anglófobo,-1.0
angustiado,-1.0
angustiante,-1.0
angustiar,0.0
animação,1.0
animado,1.0
animador,1.0
animal,-1.0
animar,1.0
animista,0.0
animosidade,-1.0
animoso,1.0
aniquilado,-1.0
aniquilar,1.0
anjinho,-1.0
anómalo,-1.0
anoréctico,-1.0
anorético,-1.0
anorexia,-1.0
anormal,-1.0
anormalidade,-1.0
anotia,-1.0
ansioso,-1.0
antepassado,0.0
anti-republicano,-1.0
antidemocrata,-1.0
antidesportista,-1.0
antidesportivismo,-1.0
antidogmático,1.0
antifascista,1.0
antifederalista,0.0
antigo,0.0
antiliberal,-1.0
antiliberalista,-1.0
antimilitarista,0.0
antinatural,-1.0
antinazista,1.0
antinómico,-1.0
antipapista,0.0
antipartidário,0.0
antipatia,-1.0
antipático,-1.0
antipatriota,-1.0
antipatriotismo,-1.0
antipolítico,-1.0
antiquado,-1.0
antisocial,-1.0
antoniano,0.0
antonino,0.0
antropófago,-1.0
anular,1.0
apadrinhado,0.0
apagado,-1.0
apagar-se,-1.0
apagar,1.0
apaixonado,0.0
apaixonante,1.0
apaixonar-se,0.0
apaixonar,1.0
apalavrado,0.0
apalermado,-1.0
apalhaçado,-1.0
apancado,-1.0
apanhado,-1.0
apaparicar,-1.0
aparolado,-1.0
apartado,-1.0
aparvalhado,-1.0
apatetado,-1.0
apatia,-1.0
apático,-1.0
apatriota,-1.0
apavorado,-1.0
apavorante,-1.0
apavorar-se,-1.0
apavorar,1.0
apaziguador,1.0
apaziguar,1.0
apeado,-1.0
apedantado,-1.0
apedrejado,-1.0
apedrejar,-1.0
apelativo,1.0
apele,0.0
apelidado,0.0
aperaltado,-1.0
aperreado,-1.0
apessoado,1.0
apetitoso,0.0
aplaudir,0.0
aplicado,1.0
apócrifo,-1.0
apoiar,0.0
apolíneo,1.0
apologético,0.0
apopléctico,-1.0
apoplético,-1.0
apoquentado,-1.0
apoquentador,-1.0
aposentado,0.0
apostado,1.0
apóstata,-1.0
aprazível,1.0
apreciado,1.0
apreciador,1.0
apreciar,0.0
apreciável,1.0
apreendido,-1.0
apreensivo,-1.0
apresentável,1.0
apressado,0.0
aprimorado,1.0
apriorista,-1.0
aprisionado,-1.0
aprontado,0.0
aprontar,-1.0
apropriado,1.0
apropriar-se,-1.0
aprovado,1.0
aproveitador,-1.0
aproveitar-se,-1.0
aprumado,1.0
aprumo,1.0
apto,1.0
apunhalado,-1.0
apunhalar,-1.0
apupar,0.0
apurado,1.0
aquietador,-1.0
árabe,0.0
arbitrário,-1.0
arcaico,-1.0
ardente,1.0
ardil,-1.0
ardiloso,-1.0
ardoroso,0.0
árduo,-1.0
arfante,-1.0
arguto,0.0
ariano,0.0
árido,-1.0
arisco,-1.0
aristocrata,0.0
aristotélico,0.0
armado,0.0
armar-se,-1.0
arnaz,1.0
arquejante,-1.0
arrancado,0.0
arranhado,-1.0
arrasado,-1.0
arrasador,0.0
arrasante,0.0
arrasar,1.0
arrastadeiro,-1.0
arrastado,-1.0
arrebatado,0.0
arrebatador,0.0
arrebatar,1.0
arrebentado,-1.0
arrebitado,-1.0
arredado,-1.0
arredio,-1.0
arreliado,-1.0
arreliador,-1.0
arreliar,1.0
arremessado,0.0
arrenegado,-1.0
