word,n,sent
coquete.PoS=Adj,TG=HUM:N0,POL:N0=-1
corado.PoS=Adj,TG=HUM:N0,POL:N0=0
coragem.PoS=N,TG=HUM:N0,POL:N0=1
corajoso.PoS=Adj,TG=HUM:N0,POL:N0=1
corcovado.PoS=Adj,TG=HUM:N0,POL:N0=-1
corcunda.PoS=Adj,TG=HUM:N0,POL:N0=-1
cordato.PoS=Adj,TG=HUM:N0,POL:N0=1
cordeiro.PoS=Adj,TG=HUM:N0,POL:N0=0
cordial.PoS=Adj,TG=HUM:N0,POL:N0=1
cordialidade.PoS=N,TG=HUM:N0,POL:N0=1
cornudo.PoS=Adj,TG=HUM:N0,POL:N0=-1
cornuto.PoS=Adj,TG=HUM:N0,POL:N0=-1
corporativista.PoS=Adj,TG=HUM:N0,POL:N0=0
corpulento.PoS=Adj,TG=HUM:N0,POL:N0=0
correção.PoS=N,TG=HUM:N0,POL:N0=1
correcção.PoS=N,TG=HUM:N0,POL:N0=1
correcto.PoS=Adj,TG=HUM:N0,POL:N0=1
correr a toque de caixa.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
correto.PoS=Adj,TG=HUM:N0,POL:N0=1
corrido.PoS=Adj,TG=HUM:N0,POL:N0=-1
corrigir.PoS=V,TG=HUM:N0:N1,POL:N0=1
corriqueiro.PoS=Adj,TG=HUM:N0,POL:N0=-1
corroer-se.PoS=V,TG=HUM:N0:N1,POL:N0=-1
corroer.PoS=V,TG=HUM:N0:N1,POL:N0=-1
corromper.PoS=V,TG=HUM:N0:N1,POL:N0=-1
corrompido.PoS=Adj,TG=HUM:N0,POL:N0=-1
corrosivo.PoS=Adj,TG=HUM:N0,POL:N0=-1
corrupção.PoS=N,TG=HUM:N0,POL:N0=-1
corruptível.PoS=Adj,TG=HUM:N0,POL:N0=-1
corruptivo.PoS=Adj,TG=HUM:N0,POL:N0=-1
corrupto.PoS=Adj,TG=HUM:N0,POL:N0=-1
corruptor.PoS=Adj,TG=HUM:N0,POL:N0=-1
cortado.PoS=Adj,TG=HUM:N0,POL:N0=-1
cortar na casaca de.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
cortar o pio a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
cortejado.PoS=Adj,TG=HUM:N0,POL:N0=0
cortês.PoS=Adj,TG=HUM:N0,POL:N0=1
cortesão.PoS=Adj,TG=HUM:N0,POL:N0=1
cortesia.PoS=N,TG=HUM:N0,POL:N0=1
coruja.PoS=Adj,TG=HUM:N0,POL:N0=0
coscuvilheiro.PoS=Adj,TG=HUM:N0,POL:N0=-1
cósmico.PoS=Adj,TG=HUM:N0,POL:N0=0
cosmopolita.PoS=Adj,TG=HUM:N0,POL:N0=1
cosmopolítico.PoS=Adj,TG=HUM:N0,POL:N0=1
cotado.PoS=Adj,TG=HUM:N0,POL:N0=1
covarde.PoS=Adj,TG=HUM:N0,POL:N0=-1
covardia.PoS=N,TG=HUM:N0,POL:N0=-1
coveiro.PoS=Adj,TG=HUM:N0,POL:N0=-1
coxo.PoS=Adj,TG=HUM:N0,POL:N0=-1
crápula.PoS=Adj,TG=HUM:N0,POL:N0=-1
crapuloso.PoS=Adj,TG=HUM:N0,POL:N0=-1
craque.PoS=Adj,TG=HUM:N0,POL:N0=1
crasso.PoS=Adj,TG=HUM:N0,POL:N0=-1
credibilidade.PoS=N,TG=HUM:N0,POL:N0=1
credível.PoS=Adj,TG=HUM:N0,POL:N0=1
crédulo.PoS=Adj,TG=HUM:N0,POL:N0=0
crente.PoS=Adj,TG=HUM:N0,POL:N0=0
crescido.PoS=Adj,TG=HUM:N0,POL:N0=1
crescidote.PoS=Adj,TG=HUM:N0,POL:N0=0
cretinice.PoS=N,TG=HUM:N0,POL:N0=-1
cretinismo.PoS=N,TG=HUM:N0,POL:N0=-1
cretino.PoS=Adj,TG=HUM:N0,POL:N0=-1
cretinóide.PoS=Adj,TG=HUM:N0,POL:N0=-1
criacionista.PoS=Adj,TG=HUM:N0,POL:N0=0
criancice.PoS=N,TG=HUM:N0,POL:N0=-1
criatividade.PoS=N,TG=HUM:N0,POL:N0=1
criativo.PoS=Adj,TG=HUM:N0,POL:N0=1
criminalidade.PoS=N,TG=HUM:N0,POL:N0=-1
criminoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
crisólogo.PoS=Adj,TG=HUM:N0,POL:N0=1
crisóstomo.PoS=Adj,TG=HUM:N0,POL:N0=1
crispação.PoS=N,TG=HUM:N0,POL:N0=-1
crispado.PoS=Adj,TG=HUM:N0,POL:N0=-1
crispar-se.PoS=V,TG=HUM:N0,POL:N0=-1
crispar.PoS=V,TG=HUM:N0:N1,POL:N0=1
cristalino.PoS=Adj,TG=HUM:N0,POL:N0=1
cristão.PoS=Adj,TG=HUM:N0,POL:N0=0
criterioso.PoS=Adj,TG=HUM:N0,POL:N0=1
criticar.PoS=V,TG=HUM:N0:N1,POL:N0=0
criticável.PoS=Adj,TG=HUM:N0,POL:N0=-1
crítico.PoS=Adj,TG=HUM:N0,POL:N0=0
crivado.PoS=Adj,TG=HUM:N0,POL:N0=-1
crível.PoS=Adj,TG=HUM:N0,POL:N0=1
cromo.PoS=Adj,TG=HUM:N0,POL:N0=-1
crônico.PoS=Adj,TG=HUM:N0,POL:N0=0
cru.PoS=Adj,TG=HUM:N0,POL:N0=-1
crucial.PoS=Adj,TG=HUM:N0,POL:N0=0
crucificador.PoS=Adj,TG=HUM:N0,POL:N0=-1
crucificar.PoS=V,TG=HUM:N0:N1,POL:N0=1
cruel.PoS=Adj,TG=HUM:N0,POL:N0=-1
crueldade .PoS=N,TG=HUM:N0,POL:N0=-1
crueza.PoS=N,TG=HUM:N0,POL:N0=-1
cruzar os braços.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
cuidado.PoS=Adj,TG=HUM:N0,POL:N0=1
cuidadoso.PoS=Adj,TG=HUM:N0,POL:N0=1
culpa.PoS=N,TG=HUM:N0,POL:N0=-1
culpabilizar.PoS=V,TG=HUM:N0:N1,POL:N0=0
culpado.PoS=Adj,TG=HUM:N0,POL:N0=-1
culpar.PoS=V,TG=HUM:N0:N1,POL:N0=0
culpas.PoS=N,TG=HUM:N0,POL:N0=-1
culposo.PoS=Adj,TG=HUM:N0,POL:N0=-1
cultivado.PoS=Adj,TG=HUM:N0,POL:N0=1
culto.PoS=Adj,TG=HUM:N0,POL:N0=1
cultura democrática.PoS=N,TG=HUM:N0,POL:N0=1
cúmplice.PoS=Adj,TG=HUM:N0,POL:N0=0
cumpridor.PoS=Adj,TG=HUM:N0,POL:N0=1
curado.PoS=Adj,TG=HUM:N0,POL:N0=1
curativo.PoS=Adj,TG=HUM:N0,POL:N0=0
curial.PoS=Adj,TG=HUM:N0,POL:N0=1
curioso.PoS=Adj,TG=HUM:N0,POL:N0=0
curtido.PoS=Adj,TG=HUM:N0,POL:N0=1
curto de vistas.PoS=Adj,TG=HUM:N0,POL:N0=-1
curto.PoS=Adj,TG=HUM:N0,POL:N0=0
curvado.PoS=Adj,TG=HUM:N0,POL:N0=-1
curvar-se.PoS=V,TG=HUM:N0:N1,POL:N0=-1
curvilíneo.PoS=Adj,TG=HUM:N0,POL:N0=-1
curvo.PoS=Adj,TG=HUM:N0,POL:N0=-1
cuspido.PoS=Adj,TG=HUM:N0,POL:N0=-1
custoso.PoS=Adj,TG=HUM:N0,POL:N0=0
dadivoso.PoS=Adj,TG=HUM:N0,POL:N0=1
dado.PoS=Adj,TG=HUM:N0,POL:N0=0
daltónico.PoS=Adj,TG=HUM:N0,POL:N0=-1
danado.PoS=Adj,TG=HUM:N0,POL:N0=-1
danificado.PoS=Adj,TG=HUM:N0,POL:N0=-1
danoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
dar à língua.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar à sola.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar à soleta.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar a volta ao miolo.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar alegrias a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar ao pé.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar bandeira.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar barraca.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar cabo da vida a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar cabo de.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar com a boca no trombone.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar com a língua nos dentes.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar com os burros na água.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar com os pés a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar conta do recado.PoS=IDIOM,TG=HUM:N0,POL:N0=1
dar de frosques.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar graxa a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar no duro.PoS=IDIOM,TG=HUM:N0,POL:N0=1
dar o corpo ao manifesto.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar o dito por não dito.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar o golpe a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar o golpe do baú.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar o litro.PoS=IDIOM,TG=HUM:N0,POL:N0=1
dar o primeiro passo.PoS=IDIOM,TG=HUM:N0,POL:N0=1
dar palmadinhas nas costas a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar pontapés na gramática.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar tiros nos pés.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar um baile a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar um banho a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar um banho de cultura a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar um pontapé no cu a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
dar um show de bola.PoS=IDIOM,TG=HUM:N0,POL:N0=1
dar um tiro no pé.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar uma banhada a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma coça a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma lição a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma lição de moral a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma malha a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma mãozinha a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar uma no cravo e outra na ferradura.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dar uma surra a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=1
dar voltas no caixão.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
dardejante.PoS=Adj,TG=HUM:N0,POL:N0=0
dávida.PoS=N,TG=HUM:N0,POL:N0=1
deambulação.PoS=N,TG=HUM:N0,POL:N0=-1
deambulante.PoS=Adj,TG=HUM:N0,POL:N0=-1
deambular.PoS=V,TG=HUM:N0,POL:N0=-1
debandado.PoS=Adj,TG=HUM:N0,POL:N0=-1
débil.PoS=Adj,TG=HUM:N0,POL:N0=-1
debilidade.PoS=N,TG=HUM:N0,POL:N0=-1
debilitação.PoS=N,TG=HUM:N0,POL:N0=-1
debilitado.PoS=Adj,TG=HUM:N0,POL:N0=-1
debilitar.PoS=V,TG=HUM:N0:N1,POL:N0=1
debochado.PoS=Adj,TG=HUM:N0,POL:N0=-1
deboche.PoS=N,TG=HUM:N0,POL:N0=-1
decadência.PoS=N,TG=HUM:N0,POL:N0=-1
decadente.PoS=Adj,TG=HUM:N0,POL:N0=-1
decadentista.PoS=Adj,TG=HUM:N0,POL:N0=-1
decaído.PoS=Adj,TG=HUM:N0,POL:N0=-1
decapitar.PoS=V,TG=HUM:N0:N1,POL:N0=1
decência.PoS=N,TG=HUM:N0,POL:N0=1
decente.PoS=Adj,TG=HUM:N0,POL:N0=1
decepado.PoS=Adj,TG=HUM:N0,POL:N0=-1
decepar.PoS=V,TG=HUM:N0:N1,POL:N0=1
decepção.PoS=N,TG=HUM:N0,POL:N0=-1
decepcionado.PoS=Adj,TG=HUM:N0,POL:N0=-1
decepcionante.PoS=Adj,TG=HUM:N0,POL:N0=-1
decepcionar.PoS=V,TG=HUM:N0:N1,POL:N0=-1
decidido.PoS=Adj,TG=HUM:N0,POL:N0=1
decisivo.PoS=Adj,TG=HUM:N0,POL:N0=0
decoro.PoS=N,TG=HUM:N0,POL:N0=1
decoroso.PoS=Adj,TG=HUM:N0,POL:N0=1
decrepidez.PoS=N,TG=HUM:N0,POL:N0=-1
decrépito.PoS=Adj,TG=HUM:N0,POL:N0=-1
dedicação.PoS=N,TG=HUM:N0,POL:N0=1
dedicado.PoS=Adj,TG=HUM:N0,POL:N0=1
defeituoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
defensiva.PoS=N,TG=HUM:N0,POL:N0=-1
defensor.PoS=Adj,TG=HUM:N0,POL:N0=1
deferente.PoS=Adj,TG=HUM:N0,POL:N0=1
deferido.PoS=Adj,TG=HUM:N0,POL:N0=1
defesso.PoS=Adj,TG=HUM:N0,POL:N0=-1
deficiente.PoS=Adj,TG=HUM:N0,POL:N0=-1
definhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
definhamento.PoS=N,TG=HUM:N0,POL:N0=-1
deformação.PoS=N,TG=HUM:N0,POL:N0=-1
deformado.PoS=Adj,TG=HUM:N0,POL:N0=-1
defraudar as expectativas de.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
defraudar.PoS=V,TG=HUM:N0:N1,POL:N0=-1
defunto.PoS=Adj,TG=HUM:N0,POL:N0=-1
degenerado.PoS=Adj,TG=HUM:N0,POL:N0=-1
degradado.PoS=Adj,TG=HUM:N0,POL:N0=-1
degradante.PoS=Adj,TG=HUM:N0,POL:N0=-1
degredado.PoS=Adj,TG=HUM:N0,POL:N0=-1
degredo.PoS=N,TG=HUM:N0,POL:N0=-1
deicida.PoS=Adj,TG=HUM:N0,POL:N0=-1
deitar achas na fogueira.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar água na fervura.PoS=IDIOM,TG=HUM:N0,POL:N0=1
deitar as unhas a.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar foguetes antes da festa.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar lenha na fogueira.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar poeira aos olhos a.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
deitar poeira para os olhos de.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
deitar tudo a perder.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar tudo para trás das costas.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deitar tudo por água abaixo.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deixar com as calças na mão.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
deixar com as mãos a abanar.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
deixar de rastos.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=-1
deixar muito a desejar.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deixar o barco à deriva.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deixar o país de tanga.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deixar tudo para depois.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
deixar-se levar.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
delambido.PoS=Adj,TG=HUM:N0,POL:N0=-1
deleitoso.PoS=Adj,TG=HUM:N0,POL:N0=1
deletério.PoS=Adj,TG=HUM:N0,POL:N0=-1
delgado.PoS=Adj,TG=HUM:N0,POL:N0=0
delicadeza.PoS=N,TG=HUM:N0,POL:N0=1
delicado.PoS=Adj,TG=HUM:N0,POL:N0=1
delicioso.PoS=Adj,TG=HUM:N0,POL:N0=1
delinquência.PoS=N,TG=HUM:N0,POL:N0=-1
delinquente.PoS=Adj,TG=HUM:N0,POL:N0=-1
delirar.PoS=V,TG=HUM:N0,POL:N0=-1
delituoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
demagogia.PoS=N,TG=HUM:N0,POL:N0=-1
demagógico.PoS=Adj,TG=HUM:N0,POL:N0=-1
demagogo.PoS=Adj,TG=HUM:N0,POL:N0=-1
demarcado.PoS=Adj,TG=HUM:N0,POL:N0=-1
demência.PoS=N,TG=HUM:N0,POL:N0=-1
demente.PoS=Adj,TG=HUM:N0,POL:N0=-1
demérito.PoS=Adj,TG=HUM:N0,POL:N0=-1
demitido.PoS=Adj,TG=HUM:N0,POL:N0=-1
democracia.PoS=N,TG=HUM:N0,POL:N0=1
democrata.PoS=Adj,TG=HUM:N0,POL:N0=0
democraticidade.PoS=N,TG=HUM:N0,POL:N0=1
democrático.PoS=Adj,TG=HUM:N0,POL:N0=1
démodé.PoS=Adj,TG=HUM:N0,POL:N0=-1
demolidor.PoS=Adj,TG=HUM:N0,POL:N0=-1
demoníaco.PoS=Adj,TG=HUM:N0,POL:N0=-1
demorado.PoS=Adj,TG=HUM:N0,POL:N0=-1
denegrido.PoS=Adj,TG=HUM:N0,POL:N0=-1
denegrir a imagem de.PoS=IDIOM,TG=HUM:N0:N1,POL:N0=0
denegrir a sua imagem.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
denegrir.PoS=V,TG=HUM:N0:N1,POL:N0=0
dengoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
denodado.PoS=Adj,TG=HUM:N0,POL:N0=1
depauperado.PoS=Adj,TG=HUM:N0,POL:N0=-1
depenado.PoS=Adj,TG=HUM:N0,POL:N0=-1
dependurado.PoS=Adj,TG=HUM:N0,POL:N0=-1
deploração.PoS=N,TG=HUM:N0,POL:N0=-1
deplorável.PoS=Adj,TG=HUM:N0,POL:N0=-1
deportado.PoS=Adj,TG=HUM:N0,POL:N0=-1
deposto.PoS=Adj,TG=HUM:N0,POL:N0=-1
depravação.PoS=N,TG=HUM:N0,POL:N0=-1
depravado.PoS=Adj,TG=HUM:N0,POL:N0=-1
depravador.PoS=Adj,TG=HUM:N0,POL:N0=-1
depreciado.PoS=Adj,TG=HUM:N0,POL:N0=-1
depreciar.PoS=V,TG=HUM:N0:N1,POL:N0=-1
depreciativo.PoS=Adj,TG=HUM:N0,POL:N0=-1
depressão maníaca.PoS=N,TG=HUM:N0,POL:N0=-1
depressão.PoS=N,TG=HUM:N0,POL:N0=-1
depressivo.PoS=Adj,TG=HUM:N0,POL:N0=-1
depressor.PoS=Adj,TG=HUM:N0,POL:N0=-1
deprimência.PoS=N,TG=HUM:N0,POL:N0=-1
deprimente.PoS=Adj,TG=HUM:N0,POL:N0=-1
deprimido.PoS=Adj,TG=HUM:N0,POL:N0=-1
depurado.PoS=Adj,TG=HUM:N0,POL:N0=0
derramado.PoS=Adj,TG=HUM:N0,POL:N0=-1
derreado.PoS=Adj,TG=HUM:N0,POL:N0=-1
derreamento.PoS=N,TG=HUM:N0,POL:N0=-1
derrear.PoS=V,TG=HUM:N0:N1,POL:N0=1
derreter.PoS=V,TG=HUM:N0:N1,POL:N0=1
derrota.PoS=N,TG=HUM:N0,POL:N0=-1
derrotado.PoS=Adj,TG=HUM:N0,POL:N0=-1
derrotar.PoS=V,TG=HUM:N0:N1,POL:N0=1
derrotismo.PoS=N,TG=HUM:N0,POL:N0=-1
derrotista.PoS=Adj,TG=HUM:N0,POL:N0=-1
derrubado.PoS=Adj,TG=HUM:N0,POL:N0=-1
derrubar.PoS=V,TG=HUM:N0:N1,POL:N0=1
desabonado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desabrido.PoS=Adj,TG=HUM:N0,POL:N0=-1
desabrigado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desabusado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desacompanhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desacordado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desacreditado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desacreditar.PoS=V,TG=HUM:N0:N1,POL:N0=1
desactualizado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desadaptado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desafectado.PoS=Adj,TG=HUM:N0,POL:N0=1
desafecto.PoS=Adj,TG=HUM:N0,POL:N0=-1
desafetado.PoS=Adj,TG=HUM:N0,POL:N0=1
desafeto.PoS=Adj,TG=HUM:N0,POL:N0=-1
desafiador.PoS=Adj,TG=HUM:N0,POL:N0=0
desafiante.PoS=Adj,TG=HUM:N0,POL:N0=0
desafinação.PoS=N,TG=HUM:N0,POL:N0=-1
desafinado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desafogado.PoS=Adj,TG=HUM:N0,POL:N0=1
desaforado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaforido.PoS=Adj,TG=HUM:N0,POL:N0=-1
desafortunado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desagradado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desagradável.PoS=Adj,TG=HUM:N0,POL:N0=-1
desagradecido.PoS=Adj,TG=HUM:N0,POL:N0=-1
desagrado.PoS=N,TG=HUM:N0,POL:N0=-1
desaire.PoS=N,TG=HUM:N0,POL:N0=-1
desairoso.PoS=Adj,TG=HUM:N0,POL:N0=-1
desajeitado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desajustado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desalentado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desalento.PoS=N,TG=HUM:N0,POL:N0=-1
desalinhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desalinhamento.PoS=N,TG=HUM:N0,POL:N0=-1
desalmado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desalojado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desamparado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desamparo.PoS=N,TG=HUM:N0,POL:N0=-1
desancar.PoS=V,TG=HUM:N0:N1,POL:N0=1
desanimação.PoS=N,TG=HUM:N0,POL:N0=-1
desanimado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desanimador.PoS=Adj,TG=HUM:N0,POL:N0=-1
desânimo.PoS=N,TG=HUM:N0,POL:N0=-1
desapaixonado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaparafusado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaparecer do mapa.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
desaparecido.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapegado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapiedado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapontado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapontador.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapossado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desapropriado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaprovador.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaproveitado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desarmante.PoS=Adj,TG=HUM:N0,POL:N0=1
desarmar.PoS=V,TG=HUM:N0:N1,POL:N0=1
desarranjado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desarrazoado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desarrumado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desarticulado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desassisado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desassombrado.PoS=Adj,TG=HUM:N0,POL:N0=0
desassossegado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desassossego.PoS=N,TG=HUM:N0,POL:N0=-1
desastrado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desastre.PoS=N,TG=HUM:N0,POL:N0=-1
desastroso.PoS=Adj,TG=HUM:N0,POL:N0=-1
desatado.PoS=Adj,TG=HUM:N0,POL:N0=0
desatento.PoS=Adj,TG=HUM:N0,POL:N0=-1
desatinado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desatualizado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desaustinado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desavergonhado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desavisado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbaratado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbaratador.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbocado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbocamento.PoS=N,TG=HUM:N0,POL:N0=-1
desbotado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbragado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desbravador.PoS=Adj,TG=HUM:N0,POL:N0=0
descabelado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descabelar-se.PoS=V,TG=HUM:N0,POL:N0=-1
descabelar.PoS=V,TG=HUM:N0:N1,POL:N0=1
descabido.PoS=Adj,TG=HUM:N0,POL:N0=-1
descadeirado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descalabro.PoS=N,TG=HUM:N0,POL:N0=-1
descalço.PoS=Adj,TG=HUM:N0,POL:N0=-1
descamisado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descansado.PoS=Adj,TG=HUM:N0,POL:N0=0
descarado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descaramento.PoS=N,TG=HUM:N0,POL:N0=-1
descarnado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descascado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descautelado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descer ao mais baixo nível.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
descer nas sondagens.PoS=IDIOM,TG=HUM:N0,POL:N0=-1
descerimonioso.PoS=Adj,TG=HUM:N0,POL:N0=1
descerrado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desclassificado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descobridor.PoS=Adj,TG=HUM:N0,POL:N0=0
descomedido.PoS=Adj,TG=HUM:N0,POL:N0=-1
descomedimento.PoS=N,TG=HUM:N0,POL:N0=-1
descomplexado.PoS=Adj,TG=HUM:N0,POL:N0=1
descomprometido.PoS=Adj,TG=HUM:N0,POL:N0=0
descompromissado.PoS=Adj,TG=HUM:N0,POL:N0=0
desconcentração.PoS=N,TG=HUM:N0,POL:N0=-1
desconcentrado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconcertado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconexo.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconfiado.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconfortável.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconhecedor.PoS=Adj,TG=HUM:N0,POL:N0=-1
desconsideração.PoS=N,TG=HUM:N0,POL:N0=-1
desconsiderado.PoS=Adj,TG=HUM:N0,POL:N0=0
desconsolação.PoS=N,TG=HUM:N0,POL:N0=-1
desconsolado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descontentamento.PoS=N,TG=HUM:N0,POL:N0=-1
descontente.PoS=Adj,TG=HUM:N0,POL:N0=-1
descontraído.PoS=Adj,TG=HUM:N0,POL:N0=1
descontrolado.PoS=Adj,TG=HUM:N0,POL:N0=-1
descontrolo.PoS=N,TG=HUM:N0,POL:N0=-1
descoordenação.PoS=N,TG=HUM:N0,POL:N0=-1
