word,sentiment
demais,-1
demasiado,-1
estagna,-1
morte,-3
falec,-3
afoga,-3
horror,-3
feio,-2
mau,-1
mal,-1.5
má,-1.5
maléfic,-2
ódio,-2
odiar,-2
odeio,-2
feia,-2
excel,2
perfei,3
delici,2
maravilh,2
bom,1
bem,1.5
amor,2
amar,2
bullying,-2
grátis,1
anima,1
destrutiv,-3
fujam,-1
